Posicao;Nota;Nome;Gênero;Duracao;Faixa Etária;Ano
184; 8.1 ;O Grande Hotel Budapeste;Aventura,Comédia,Drama;99;14;2014
185; 8.2 ;Quando Duas Mulheres Pecam;Drama;85;0;1966
186; 8.2 ;As Diabólicas;Horror,Mistério,Thriller;116;0;1955
187; 8.1 ;Amores Brutos;Drama,Thriller;154;0;2000
188; 8.1 ;Ben-Hur;Aventura,Drama,História;212;12;1959
189; 8.1 ;Em Nome do Pai;Biografia,Drama,História;133;16;1993
190; 8.2 ;Vinhas da Ira;Drama;129;12;1940
191; 8.1 ;Menina de Ouro;Drama,Sport;132;12;2004
192; 8.1 ;Sin City: A Cidade do Pecado;Crime,Thriller;124;16;2005
193; 8.2 ;Sempre ao Seu Lado;Drama,Família;93;0;2009
194; 8.2 ;Nausicaä do Vale do Vento;Animação,Aventura,Fantasia;117;0;1984
195; 8.1 ;O Mágico de Oz;Aventura,Família,Fantasia;102;0;1939
196; 8.2 ;Os Melhores Anos de Nossa Vida;Drama,Romance,Guerra;172;0;1946
197; 8.1 ;Gandhi;Biografia,Drama,História;191;14;1982
198; 8.2 ;The Avengers: Os Vingadores;Ação,Aventura,Sci-Fi;143;12;2012
199; 8.1 ;O Ultimato Bourne;Ação,Thriller;115;14;2007
200; 8.1 ;Donnie Darko;Drama,Mistério,Sci-Fi;113;14;2001
201; 8.1 ;Ilha do Medo;Mistério,Thriller;138;16;2010
202; 8.1 ;Guardiões da Galáxia;Ação,Aventura,Sci-Fi;121;12;2014
203; 8.2 ;Stalker;Drama,Sci-Fi;163;0;1979
204; 8.1 ;8½;Drama,Fantasia;138;0;1963
205; 8.1 ;Pacto Sinistro;Crime,Film-Noir,Thriller;101;16;1951
206; 8.1 ;Conflitos Internos;Crime,Mistério,Thriller;101;18;2002
207; 8.1 ;Os 12 Macacos;Mistério,Sci-Fi,Thriller;129;14;1995
208; 8.1 ;Boyhood: Da Infância à Juventude;Drama;165;14;2014
